JRN-0001|TXN001|DEBIT|CUST_1001|49.99|USD|2024-01-15 09:23:45|Purchase debit from customer 1001
JRN-0002|TXN001|CREDIT|MERCH_MERCHANT_A|49.99|USD|2024-01-15 09:23:45|Purchase credit to MERCHANT_A
JRN-0003|TXN002|DEBIT|CUST_1002|29.99|USD|2024-01-15 10:15:22|Purchase debit from customer 1002
JRN-0004|TXN002|CREDIT|MERCH_MERCHANT_B|29.99|USD|2024-01-15 10:15:22|Purchase credit to MERCHANT_B
JRN-0005|TXN003|CREDIT|CUST_1004|75.00|USD|2024-01-15 14:45:00|Refund credit to customer 1004
JRN-0006|TXN003|DEBIT|MERCH_MERCHANT_A|75.00|USD|2024-01-15 14:45:00|Refund debit from MERCHANT_A
JRN-0007|TXN004|DEBIT|CUST_1001|25.50|USD|2024-01-16 08:00:10|Purchase debit from customer 1001
JRN-0008|TXN004|CREDIT|MERCH_MERCHANT_C|25.50|USD|2024-01-16 08:00:10|Purchase credit to MERCHANT_C
JRN-0009|TXN005|DEBIT|CUST_1005|199.99|USD|2024-01-16 11:30:55|Purchase debit from customer 1005
JRN-0010|TXN005|CREDIT|MERCH_MERCHANT_D|199.99|USD|2024-01-16 11:30:55|Purchase credit to MERCHANT_D
