ORD-2024-0001|1001|2024-01-15|SHIPPED|3|149.97|USD
ORD-2024-0002|1002|2024-01-15|DELIVERED|1|29.99|USD
ORD-2024-0003|1004|2024-01-16|PROCESSING|5|249.95|USD
ORD-2024-0004|1001|2024-01-16|SHIPPED|2|79.98|USD
ORD-2024-0005|1005|2024-01-17|CANCELLED|1|19.99|USD
ORD-2024-0006|1007|2024-01-17|DELIVERED|4|199.96|USD
ORD-2024-0007|1003|2024-01-18|PROCESSING|2|59.98|USD
ORD-2024-0008|1008|2024-01-18|SHIPPED|6|329.94|USD
ORD-2024-0009|1010|2024-01-19|DELIVERED|1|49.99|USD
ORD-2024-0010|1006|2024-01-19|PROCESSING|3|119.97|USD
